CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2024-01,1577.0,540.0,567.0,541.0,550.0,565.0,546.0,548.0,523.0,566.0,544.0,551.0,572.0,518.0,537.0,545.0,586.0
2024-02,990.0,356.0,367.0,352.0,352.0,350.0,375.0,342.0,315.0,348.0,348.0,354.0,316.0,347.0,319.0,324.0,
2024-03,669.0,209.0,235.0,248.0,213.0,209.0,209.0,213.0,205.0,215.0,232.0,184.0,226.0,231.0,209.0,,
2024-04,441.0,120.0,137.0,139.0,128.0,139.0,150.0,128.0,132.0,140.0,129.0,137.0,135.0,140.0,,,
2024-05,294.0,77.0,105.0,88.0,76.0,78.0,80.0,102.0,89.0,75.0,89.0,80.0,85.0,,,,
2024-06,236.0,61.0,73.0,50.0,79.0,60.0,59.0,74.0,59.0,70.0,68.0,54.0,,,,,
2024-07,175.0,45.0,40.0,41.0,43.0,36.0,40.0,36.0,41.0,38.0,37.0,,,,,,
2024-08,135.0,24.0,32.0,30.0,31.0,29.0,34.0,34.0,23.0,37.0,,,,,,,
2024-09,100.0,17.0,19.0,22.0,21.0,20.0,13.0,19.0,19.0,,,,,,,,
2024-10,75.0,19.0,24.0,11.0,19.0,16.0,11.0,10.0,,,,,,,,,
2024-11,55.0,13.0,12.0,9.0,4.0,5.0,10.0,,,,,,,,,,
2024-12,56.0,10.0,7.0,9.0,5.0,12.0,,,,,,,,,,,
2025-01,40.0,6.0,6.0,3.0,7.0,,,,,,,,,,,,
2025-02,49.0,8.0,5.0,5.0,,,,,,,,,,,,,
2025-03,48.0,9.0,8.0,,,,,,,,,,,,,,
2025-04,29.0,2.0,,,,,,,,,,,,,,,
2025-05,31.0,,,,,,,,,,,,,,,,
