amfi_code,historical_var_95,parametric_var_95
100016,-0.014363639988111142,-0.01493260173039513
100025,-0.003793246199522682,-0.003876406937815827
100033,-0.019033535861558825,-0.01854166585028232
101206,-0.013281661986281489,-0.01424323279514528
101207,-0.026021248221061066,-0.02630571059363766
101208,-0.0002686575130400159,-0.00028320381413556776
102885,-0.01261262882069356,-0.012626647140885083
102886,-0.01922028344426503,-0.018680514935072612
102887,-0.015231617279157872,-0.015682854924681952
118632,-0.013954045870018117,-0.013794736241311611
118633,-0.013442525143024242,-0.013887044615856103
118634,-0.025438111458963106,-0.02544715481797015
118635,-0.012553697284754662,-0.012852160999000557
118636,-0.003804146068944347,-0.003928123458246578
119092,-0.013749592076363814,-0.014180143772907761
119093,-0.014225516634796053,-0.014159078378131776
119094,-0.018480276243938307,-0.01908218851119778
119095,-0.02618842440959035,-0.025790632387898443
119120,-0.003938283121850805,-0.0038882445874060876
119551,-0.012846228628842571,-0.013321531533611158
119552,-0.013500970479935082,-0.013658177995603319
119598,-0.0245070519056771,-0.02484865602733874
119599,-0.02685943514961382,-0.025651014464021515
120503,-0.01355001716250348,-0.013688908786758673
120504,-0.013728193295939772,-0.014040134069161355
120505,-0.01889178619869274,-0.01882719733234315
120506,-0.014388462899080912,-0.015131148322228213
120507,-0.00022157351389344714,-0.00024412015798929782
120841,-0.013141782186804063,-0.013428636655563033
120842,-0.01821853045255608,-0.018229890300590433
120843,-0.014507941385630474,-0.01537971124580921
120844,-0.00028479272823556107,-0.00027575004366652895
125497,-0.014591769071140459,-0.014489776328953523
125498,-0.018365320169601018,-0.018539197662680484
148567,-0.01355977641751056,-0.013633281329777645
148568,-0.014711531333512795,-0.0151619960850792
148569,-0.017118192655621135,-0.017189051645332146
149322,-0.014473851983792741,-0.014350649863624299
149323,-0.017882076201903473,-0.017332676385353053
149324,-0.023483069386777154,-0.02454426497030764
